Image_urls,#PAGE_URL,Domain,Title,Review,Complaint,Emotion,Sentiment,first_url,EmotionLabel,TitleText,ReviewText,ImageName
https://images-na.ssl-images-amazon.com/images/I/81ytodUvLJL._SY88.jpg,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/product-reviews/8172345364/ref=cm_cr_arp_d_viewopt_mdrvw?ie=UTF8&reviewerType=all_reviews&mediaType=media_reviews_only&pageNumber=2,Books,Changed my life,\n Changed my life in every aspect. This book is a gift from god. I felt really transformed and awakened after reading the autobiography of a Yogi\n,0,happiness,2,https://images-na.ssl-images-amazon.com/images/I/81ytodUvLJL._SY88.jpg,3,changed my life,\ n changed my life in every aspect . this book is a gift from god . i felt really transformed and awakened after reading the autobiography of a yogi \ n,468.jpg
https://images-na.ssl-images-amazon.com/images/I/71VsIcUTQnL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81vVBnpq0iL._SY88.jpg,https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/product-reviews/B07HGGYWL6/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&mediaType=media_reviews_only&pageNumber=10&formatType=all_formats,Electronics,Value for Money,"\n Wonderful product!!\nGlad I bought this.\nIt is more than 3 months now since I bought this phone!\nBattery life is excellent! I use my phone with wifi and data on with multiple apps running together. Even after 8hrs of use it consumes only 50 to 60 percent of the charge.\nCamera quality is also good.captures fine details well. The live focus is also quite good. For regular use and daily photography it is beyond sufficient. I had seen few poor reviews about the camera, but it turned out good.\nThe finger print reader is quick and responsive.\nOverall good value for money! With a sturdy back cover and a tempered glass it Is good to go.\n",0,happiness,2,https://images-na.ssl-images-amazon.com/images/I/71VsIcUTQnL._SY88.jpg,3,value for money,"\ n wonderful product ! ! \ nglad i bought this . \ nit is more than 3 months now since i bought this phone ! \ nbattery life is excellent ! i use my phone with wifi and data on with multiple apps running together . even after 8hrs of use it consumes only 50 to 60 percent of the charge . \ ncamera quality is also good . captures fine details well . the live focus is also quite good . for regular use and daily photography it is beyond sufficient . i had seen few poor reviews about the camera , but it turned out good . \ nthe finger print reader is quick and responsive . \ noverall good value for money ! with a sturdy back cover and a tempered glass it is good to go . \ n",2388.jpg
https://images-na.ssl-images-amazon.com/images/I/61VHIePuhHL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71saMZZaGkL._SY88.jpg,https://www.amazon.in/PAUSE-Cotton-Sleeve-Regular-Fit-PASRG03181189-BLK/product-reviews/B07BNXQW14/ref=cm_cr_arp_d_viewopt_mdrvw?ie=UTF8&reviewerType=all_reviews&mediaType=media_reviews_only&pageNumber=1,Fashion,Such a good product,\n I think it's good for personality and suitable for any cloth.......\n,0,happiness,2,https://images-na.ssl-images-amazon.com/images/I/61VHIePuhHL._SY88.jpg,3,such a good product,\ n i think it 's good for personality and suitable for any cloth . . . \ n,742.jpg
https://images-na.ssl-images-amazon.com/images/I/71hlnMBLVJL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/814iohZ+6-L._SY88.jpg,https://www.amazon.in/Mossad-Michael-Bar-Zohar/product-reviews/8184958455/ref=cm_cr_arp_d_viewopt_mdrvw?ie=UTF8&reviewerType=all_reviews&mediaType=media_reviews_only&pageNumber=2,Books,Sign of patriotism,"\n True patriotic, thrill , hope and determination ...\nMakes best\nBest military Zoner book\n",0,happiness,2,https://images-na.ssl-images-amazon.com/images/I/71hlnMBLVJL._SY88.jpg,3,sign of patriotism,"\ n true patriotic , thrill , hope and determination . . . \ nmakes best \ nbest military zoner book \ n",447.jpg
https://images-na.ssl-images-amazon.com/images/I/91CfMfcMplL._SY88.jpg,https://www.amazon.in/Qube-Fort-Collins-Bomber-Jacket/product-reviews/B082FKHBJ7/ref=cm_cr_arp_d_viewopt_mdrvw?ie=UTF8&reviewerType=all_reviews&mediaType=media_reviews_only&pageNumber=2,Fashion,Black linings were not there at cuff of one hand,\n Although the product was nice and all just as expected but the lining of one cuff were not there so i am a little bit disappointed from this product\n,1,sadness,1,https://images-na.ssl-images-amazon.com/images/I/91CfMfcMplL._SY88.jpg,4,black linings were not there at cuff of one hand,\ n although the product was nice and all just as expected but the lining of one cuff were not there so i am a little bit disappointed from this product \ n,822.jpg
https://images-na.ssl-images-amazon.com/images/I/9198HLOOfKL._SY88.jpg,https://www.amazon.in/Maggi-Masala-Noodles-Singles-840g/product-reviews/B079TXZ142/ref=cm_cr_arp_d_viewopt_mdrvw?ie=UTF8&reviewerType=all_reviews&mediaType=media_reviews_only&pageNumber=1,Edible,Highly recommended !!,"\n Before reading the Reviews, Note few things :\n1. The packaging and freshness of the product may differ to different warehouses.\n\n2. I received products from the warehouse, from Bhiwandi Maharashtra.\n\n3. Very perfect and safe packaging and also all products are fresh (Manufacturing is just few weeks / months ago).\n\n4. If you are from different part of country / state, the packaging &amp; freshness may change.\n\nNow Review :\n\n1. Perfect packing and Maggi is in full shape, Not crushed or broken.\n\n2. Value for money and Highly recommended!!\n",0,happiness,2,https://images-na.ssl-images-amazon.com/images/I/9198HLOOfKL._SY88.jpg,3,highly recommended ! !,"\ n before reading the reviews , note few things :\ n1 . the packaging and freshness of the product may differ to different warehouses . \ n \ n2 . i received products from the warehouse , from bhiwandi maharashtra . \ n \ n3 . very perfect and safe packaging and also all products are fresh ( manufacturing is just few weeks / months ago ) . \ n \ n4 . if you are from different part of country / state , the packaging & freshness may change . \ n \ nnow review :\ n \ n1 . perfect packing and maggi is in full shape , not crushed or broken . \ n \ n2 . value for money and highly recommended ! ! \ n",2184.jpg
https://images-na.ssl-images-amazon.com/images/I/51mQRy+0AvL._SY88.jpg,https://www.amazon.in/Dennis-Lingo-Mens-Shirt/product-reviews/B094KB9VKZ/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&mediaType=media_reviews_only&pageNumber=3,Fashion,Value for maney,\n Value for maney\n,0,happiness,2,https://images-na.ssl-images-amazon.com/images/I/51mQRy+0AvL._SY88.jpg,3,value for maney,\ n value for maney \ n,1508.jpg
https://images-na.ssl-images-amazon.com/images/I/B11kjBsHKES._SY88.jpg,https://www.amazon.in/Secret-Garden-Frances-Hodgson-Burnett/product-reviews/9386538997/ref=cm_cr_arp_d_viewopt_mdrvw?ie=UTF8&reviewerType=all_reviews&mediaType=media_reviews_only&pageNumber=2,Books,Typing errors,"\n Very badly edited. Serious disappointment. Bad fonts and many mistakes in single scentence. Couldn't even read properly. You can go through the picture of one page that I uploaded, you will find a lot of typing errors. Its not worth buying. Waste of money and time.\n",1,anger,0,https://images-na.ssl-images-amazon.com/images/I/B11kjBsHKES._SY88.jpg,0,typing errors,"\ n very badly edited . serious disappointment . bad fonts and many mistakes in single scentence . could n't even read properly . you can go through the picture of one page that i uploaded , you will find a lot of typing errors . its not worth buying . waste of money and time . \ n",311.jpg
https://images-na.ssl-images-amazon.com/images/I/71ecMt+9nQL._SY88.jpg,https://www.amazon.in/Dennis-Lingo-Solid-Casual-Shirt/product-reviews/B091VK3VMC/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&mediaType=media_reviews_only&pageNumber=2,Fashion,"Value for money, good material,perfect fit","\n I bought this for Deepavali. It's nice looking, material quality is good, value for money . It's perfect fit. I'm looking to buy other colors also. Thanks to amazon and Dennis Lingo for giving me a very good product\n",0,happiness,2,https://images-na.ssl-images-amazon.com/images/I/71ecMt+9nQL._SY88.jpg,3,"value for money , good material , perfect fit","\ n i bought this for deepavali . it 's nice looking , material quality is good , value for money . it 's perfect fit . i 'm looking to buy other colors also . thanks to amazon and dennis lingo for giving me a very good product \ n",1378.jpg
https://images-na.ssl-images-amazon.com/images/I/A11orFmHWtL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/A14bG7G3uOL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/A1L1JI-HKzL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/A1jo8OT2fIL._SY88.jpg,https://www.amazon.in/AMD-Ryzen-3600-Processor-100000031BOX/product-reviews/B07STGGQ18/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&mediaType=media_reviews_only&pageNumber=2,Electronics,Best Processor,\n Great processor working perfectly. AMD Ryzen 5 3600.\n,0,happiness,2,https://images-na.ssl-images-amazon.com/images/I/A11orFmHWtL._SY88.jpg,3,best processor,\ n great processor working perfectly . amd ryzen 5 3600 . \ n,3695.jpg
